Council Member,Questionnaire Submission,Email Address submitted on Questionnaire,FY24 SC CODE,Older Adult Center / Program Name,Program Address,Borough,Zip Code,New Council District,City Council District ,Community District,Contact Person,Phone,Email Address sent by DFTA (Red Highlights flags error with original email),DFTA ID ,SITE TYPE,Program Type,email,director,JR,City Council District .1,Council Member.1,geoclient,lat,lon
Abreu,YES,abswsenio@cs.com,FY24 SC 057,ABSW OAC,221 West 107th Street,Manhattan,10025,,7,Manhattan CD7,Billy Williams,212-749-8400,abswsenio@cs.com,C0601,Main Site,OAC,abswsenio@cs.com,Billy Williams,,7,Abreu,"221%20West%20107th%20Street,%20Manhattan,%2010025",40.8017035721786,-73.96659296073382
Abreu,YES,gpatrone@wsfssh.org,FY24 SC 058,Center at the Red Oak,135 West 106th Street,Manhattan,10025,,7,Manhattan CD7,Gloria Patrone,212-749-7015,gpatrone@wsfssh.org,C9101,Main Site,OAC,gpatrone@wsfssh.org,Gloria Patrone,,7,Abreu,"135%20West%20106th%20Street,%20Manhattan,%2010025",40.79991886164213,-73.9644592438058
Abreu,YES,davellanet@wsfssh.org,FY24 SC 074,Frederick Douglass Social Club ,868 Amsterdam Avenue,Manhattan,10025,,7,Manhattan CD7,Diana Nieves-Avellanet,646-214-2560,davellanet@wsfssh.org,C9102,Affiliated,OAC,davellanet@wsfssh.org,Diana Nieves Avellanet,,7,Abreu,"868%20Amsterdam%20Avenue,%20Manhattan,%2010025",40.798168586522,-73.96737126543621
Abreu,YES,rallen@hamiltongrange.org,FY24 SC 059,Hamilton Grange NSC,420 West 145th Street,Manhattan,10032,,7,Manhattan CD9  ,Requithelia Allen,212-862-4181,rallen@hamiltongrange.org,C2401,Main Site,OAC,rallen@hamiltongrange.org,Requithelia Allen,,7,Abreu,"420%20West%20145th%20Street,%20Manhattan,%2010032",40.82443565889645,-73.94573340395833
Abreu,NO,,FY24 SC 060,ISABELLA GERIATRIC RIVER TERRACE NORC,156-20 RIVERSIDE DR.,Manhattan,10032,,7,112,Carol Ban,646-230-8530,cban@mjhs.org,N3F,Discretionary,NORC,,,,7,Abreu,"156-20%20RIVERSIDE%20DR.,%20Manhattan,%2010032",40.83552294481749,-73.94876356538866
Abreu,NO,,FY24 SC 061,Jackie Robinson,1301 Amsterdam Avenue,Manhattan,10027,,7,Manhattan CD9,Jauquette Greene,212-666-4910,jgreenejroac@gmail.com,C9901,Main Site,OAC,,,,7,Abreu,"1301%20Amsterdam%20Avenue,%20Manhattan,%2010027",40.811993207077556,-73.95726387922927
Abreu,YES,BETHUNE4SENIORS@GMAIL.COM,FY24 SC 062,M M Bethune ,1970 Amsterdam Avenue,Manhattan,10032,,7,Manhattan CD12,Nancy Leroux,646 918-7710,bethune4seniors@gmail.com,C2603,Main Site,OAC,BETHUNE4SENIORS@GMAIL.COM,NANCY C LEROUX,,7,Abreu,"1970%20Amsterdam%20Avenue,%20Manhattan,%2010032",40.83327992588449,-73.9417403043681
Abreu,YES,ronb@mrhsny.org,FY24 SC 064,MORNINGSIDE MRHS NORC,100 LASALLE STREET,Manhattan,10027,,7,109,Ron Bruno,212-666-4000,ronb@mrhsny.org,N57,DFTA-Funded,NORC,ronb@mrhsny.org,Ronald Bruno,,7,Abreu,"100%20LASALLE%20STREET,%20Manhattan,%2010027",40.81351168934033,-73.95905836808117
Abreu,YES,tashley@pssusa.org,FY24 SC 065,PSS Manhattanville ,530 West 133rd Street,Manhattan,10027,,7,Manhattan CD9,Tina Ashley,212-862-5562,tashley@pssusa.org,W1905,Main Site,OAC,tashley@pssusa.org,Tina Ashley,,7,Abreu,"530%20West%20133rd%20Street,%20Manhattan,%2010027",40.8181265914564,-73.95447804288288
Abreu,YES,aborbon@riverstonenyc.org,FY24 SC 066,Riverstone Senior Life Services OAC,99 Fort Washington Avenue,Manhattan,10032,,7,Manhattan CD12,Aleyda Borbon,212-927-5600,aborbon@riverstonenyc.org,C6201,Main Site,OAC,aborbon@riverstonenyc.org,Aleyda Borbon,,7,Abreu,"99%20Fort%20Washington%20Avenue,%20Manhattan,%2010032",40.83850959276007,-73.94373785919052
