Council Member,Questionnaire Submission,Email Address submitted on Questionnaire,FY24 SC CODE,Older Adult Center / Program Name,Program Address,Borough,Zip Code,New Council District,City Council District ,Community District,Contact Person,Phone,Email Address sent by DFTA (Red Highlights flags error with original email),DFTA ID ,SITE TYPE,Program Type,email,director,JR,City Council District .1,Council Member.1,lat,lon
Abreu,YES,abswsenio@cs.com,FY24 SC 057,ABSW OAC,221 West 107th Street,Manhattan,10025,7,7,Manhattan CD7,Billy Williams,212-749-8400,abswsenio@cs.com,C0601,Main Site,OAC,abswsenio@cs.com,Billy Williams,,7,Abreu,40.80170357,-73.96659296
Abreu,YES,gpatrone@wsfssh.org,FY24 SC 058,Center at the Red Oak,135 West 106th Street,Manhattan,10025,7,7,Manhattan CD7,Gloria Patrone,212-749-7015,gpatrone@wsfssh.org,C9101,Main Site,OAC,gpatrone@wsfssh.org,Gloria Patrone,,7,Abreu,40.79991886,-73.96445924
Abreu,YES,davellanet@wsfssh.org,FY24 SC 074,Frederick Douglass Social Club ,868 Amsterdam Avenue,Manhattan,10025,7,7,Manhattan CD7,Diana Nieves-Avellanet,646-214-2560,davellanet@wsfssh.org,C9102,Affiliated,OAC,davellanet@wsfssh.org,Diana Nieves Avellanet,,7,Abreu,40.79816859,-73.96737127
Abreu,YES,rallen@hamiltongrange.org,FY24 SC 059,Hamilton Grange NSC,420 West 145th Street,Manhattan,10032,9,7,Manhattan CD9  ,Requithelia Allen,212-862-4181,rallen@hamiltongrange.org,C2401,Main Site,OAC,rallen@hamiltongrange.org,Requithelia Allen,,7,Abreu,40.82443566,-73.9457334
Abreu,NO,,FY24 SC 060,ISABELLA GERIATRIC RIVER TERRACE NORC,156-20 RIVERSIDE DR.,Manhattan,10032,7,7,112,Carol Ban,646-230-8530,cban@mjhs.org,N3F,Discretionary,NORC,,,,7,Abreu,40.83552294,-73.94876357
Abreu,NO,,FY24 SC 061,Jackie Robinson,1301 Amsterdam Avenue,Manhattan,10027,7,7,Manhattan CD9,Jauquette Greene,212-666-4910,jgreenejroac@gmail.com,C9901,Main Site,OAC,,,,7,Abreu,40.81199321,-73.95726388
Abreu,YES,BETHUNE4SENIORS@GMAIL.COM,FY24 SC 062,M M Bethune ,1970 Amsterdam Avenue,Manhattan,10032,10,7,Manhattan CD12,Nancy Leroux,646 918-7710,bethune4seniors@gmail.com,C2603,Main Site,OAC,BETHUNE4SENIORS@GMAIL.COM,NANCY C LEROUX,,7,Abreu,40.83327993,-73.9417403
Abreu,YES,ronb@mrhsny.org,FY24 SC 064,MORNINGSIDE MRHS NORC,100 LASALLE STREET,Manhattan,10027,7,7,109,Ron Bruno,212-666-4000,ronb@mrhsny.org,N57,DFTA-Funded,NORC,ronb@mrhsny.org,Ronald Bruno,,7,Abreu,40.81351169,-73.95905837
Abreu,YES,tashley@pssusa.org,FY24 SC 065,PSS Manhattanville ,530 West 133rd Street,Manhattan,10027,7,7,Manhattan CD9,Tina Ashley,212-862-5562,tashley@pssusa.org,W1905,Main Site,OAC,tashley@pssusa.org,Tina Ashley,,7,Abreu,40.81812659,-73.95447804
Abreu,YES,aborbon@riverstonenyc.org,FY24 SC 066,Riverstone Senior Life Services OAC,99 Fort Washington Avenue,Manhattan,10032,10,7,Manhattan CD12,Aleyda Borbon,212-927-5600,aborbon@riverstonenyc.org,C6201,Main Site,OAC,aborbon@riverstonenyc.org,Aleyda Borbon,,7,Abreu,40.83850959,-73.94373786
Adams,YES,Dcarter@allencnp.org,FY24 SC 219,Allen AME Rockaway Blvd Senior Center,123-10 143rd Street,Queens,11436,28,28,Queens CD12,Danielle Carter,718-657-6752,dcarter@allencnp.org,C0205,Main Site,OAC,Dcarter@allencnp.org,Danielle Carter,,28,Adams,40.67452192,-73.79572549
Adams,YES,Brooksseniorcenter@yahoo.com,FY24 SC 220,Brooks Senior Center,143-22 109th Avenue,Queens,11435,28,28,Queens CD12,Stella Langaigne,718-291-3935,stellal@brooksseniorcenter.org,C1401,Main Site,OAC,Brooksseniorcenter@yahoo.com,Stella Langaigne ,,28,Adams,40.68856412,-73.80355403
Adams,YES,sabrina.marson@ccbq.org,FY24 SC 335,CCNS Ozone Park OAC,103-02 101 Avenue,Queens,11416,29,28,Queens CD9,Sabrina Marson,718-847-2100,sabrina.marson@ccbq.org,C1705,Main Site,OAC,sabrina.marson@ccbq.org,Sabrina Marson,,28,Adams,40.68602644,-73.83977719
Adams,YES,pcarolei@rvsocialservices.org,FY24 SC 222,ROCHDALE VILLAGE NORC,169-65 137TH AVENUE,Queens ,11434,28,28,412,Phara Carolei,718-286-1541,pcarolei@rvsocialservices.org,N60,DFTA-Funded,NORC,pcarolei@rvsocialservices.org,Phara Carolei,,28,Adams,40.67262192,-73.77064063
Adams,YES,sshivers@rvsocialservices.org,FY24 SC 223,Rochdale Village SC,169-65 137th Avenue,Queens,11434,28,28,Queens CD12,Sheree Shivers,718-525-2800,sshivers@rvsocialservices.org,C6301,Main Site,OAC,sshivers@rvsocialservices.org,Sheree Shivers,,28,Adams,40.67262192,-73.77064063
Ariola,YES,Dhoffer@ccbq.org,FY24 SC 217,CCNS Howard Beach OAC,155-55 CrossBay Boulevard,Queens,11414,32,32,Queens CD10  ,Debra Hoffer,718-738-8100,dhoffer@ccbq.org,C1704,Main Site,OAC,Dhoffer@ccbq.org,"Acting manager, Debra Hoffer",,32,Ariola,40.66437204,-73.84115207
Ariola,YES,Jurate.Jones@ccbq.org,FY24 SC 243,CCNS Seaside OAC,320 Beach 94th Street,Queens,11693,32,32,Queens CD14,Jurate Jones,347-926-4119,jurate.jones@ccbq.org,C1709,Main Site,OAC,Jurate.Jones@ccbq.org,Jurate Jones,,32,Ariola,40.58768274,-73.81731266
